               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  94,            0.044957,            0.019133,           0.0075831,             0.63923,              0.7834,             0.69157,             0.28964,            0.034112,            0.011368,           0.0068405,            0.006931,            0.006931,            0.006931
                  95,            0.043965,             0.01551,            0.010215,              0.7508,                0.85,             0.79657,              0.3143,            0.030082,            0.011073,           0.0068741,            0.006898,            0.006898,            0.006898
                  96,            0.047805,            0.017744,           0.0077605,             0.56456,             0.66764,             0.56693,             0.26943,            0.034442,            0.011589,           0.0068604,            0.006865,            0.006865,            0.006865
                  97,            0.048767,            0.019078,           0.0059542,             0.70934,             0.78092,               0.761,             0.33044,            0.032404,            0.011357,           0.0071198,            0.006832,            0.006832,            0.006832
                  98,            0.046549,             0.01642,           0.0080611,             0.67923,             0.73554,             0.70716,             0.29919,            0.032437,            0.011253,           0.0074188,            0.006799,            0.006799,            0.006799
                  99,            0.044949,            0.016686,           0.0063796,              0.7311,             0.84055,             0.80257,             0.36024,            0.029019,            0.010706,           0.0078613,            0.006766,            0.006766,            0.006766
                 100,            0.049131,            0.015477,           0.0054385,             0.74679,                0.85,             0.78235,             0.29932,            0.033572,             0.01129,           0.0084717,            0.006733,            0.006733,            0.006733
                 101,            0.051111,            0.016042,           0.0067155,             0.75394,              0.7875,              0.7208,             0.36457,            0.028895,            0.010279,           0.0084198,              0.0067,              0.0067,              0.0067
                 102,            0.047159,            0.015784,           0.0046444,             0.81125,             0.84724,              0.7971,             0.40159,            0.028061,            0.010305,           0.0084869,            0.006667,            0.006667,            0.006667
                 103,            0.045781,            0.014513,           0.0042567,             0.70015,                0.85,             0.79626,             0.37305,            0.027749,            0.010374,            0.008609,            0.006634,            0.006634,            0.006634
                 104,            0.047091,            0.017162,           0.0074224,             0.80949,                0.85,             0.82438,             0.40631,            0.028413,           0.0097115,           0.0088318,            0.006601,            0.006601,            0.006601
                 105,            0.049709,            0.016894,           0.0047681,              0.7669,                0.85,             0.79416,             0.33666,            0.030829,            0.010654,           0.0088684,            0.006568,            0.006568,            0.006568
                 106,            0.044764,            0.014784,           0.0066703,             0.89313,             0.77723,             0.80128,             0.46035,            0.026803,            0.010293,            0.007254,            0.006535,            0.006535,            0.006535
                 107,            0.046899,            0.013797,           0.0050936,             0.77899,             0.82637,             0.83187,             0.34655,            0.031554,            0.010642,           0.0073975,            0.006502,            0.006502,            0.006502
                 108,            0.042904,            0.016397,           0.0058654,              0.8525,               0.725,             0.84638,             0.40609,            0.029673,            0.010081,           0.0080215,            0.006469,            0.006469,            0.006469
                 109,            0.045172,            0.014331,            0.007328,             0.76284,              0.7375,             0.80036,             0.42454,            0.027851,           0.0099347,           0.0081345,            0.006436,            0.006436,            0.006436
                 110,            0.042417,            0.015668,           0.0042111,              0.7813,             0.72377,             0.79758,             0.42455,            0.027584,           0.0094559,            0.009433,            0.006403,            0.006403,            0.006403
                 111,            0.048568,            0.016373,           0.0065564,             0.55234,              0.5867,              0.5805,             0.19891,            0.039074,            0.010628,            0.010471,             0.00637,             0.00637,             0.00637
                 112,             0.04153,            0.019864,            0.009498,             0.76543,              0.7125,             0.74855,             0.37995,            0.029403,            0.010294,            0.011478,            0.006337,            0.006337,            0.006337
                 113,            0.042215,            0.015372,           0.0077418,             0.70682,              0.7125,             0.72703,             0.40285,            0.027601,           0.0098331,            0.013602,            0.006304,            0.006304,            0.006304
                 114,             0.04328,            0.015162,           0.0039409,             0.65902,             0.68254,             0.76673,             0.36923,            0.030755,            0.010035,            0.013971,            0.006271,            0.006271,            0.006271
                 115,            0.044694,            0.015217,           0.0085033,             0.64423,             0.75121,             0.75946,             0.38425,            0.031963,            0.010504,            0.015192,            0.006238,            0.006238,            0.006238
                 116,            0.042901,            0.015048,           0.0053963,             0.52671,             0.74118,             0.79155,             0.34875,            0.032106,            0.010387,            0.016446,            0.006205,            0.006205,            0.006205
                 117,            0.047643,            0.014185,            0.008414,             0.64327,              0.7125,             0.65096,             0.26674,            0.038503,            0.010367,            0.015115,            0.006172,            0.006172,            0.006172
                 118,             0.04872,            0.016057,           0.0048923,             0.58915,             0.71653,             0.75551,             0.32661,             0.03339,            0.010062,            0.016803,            0.006139,            0.006139,            0.006139
                 119,            0.044642,            0.014948,           0.0033308,             0.84863,              0.5875,             0.74617,             0.37396,             0.03318,           0.0096288,            0.014761,            0.006106,            0.006106,            0.006106
                 120,            0.041139,            0.015483,           0.0097951,             0.91287,             0.54941,             0.75248,             0.34903,            0.032816,           0.0094855,            0.014658,            0.006073,            0.006073,            0.006073
                 121,            0.041264,            0.013565,           0.0057283,             0.80783,             0.61758,              0.7944,             0.39658,             0.03229,           0.0094428,            0.014545,             0.00604,             0.00604,             0.00604
                 122,            0.042856,            0.014521,           0.0070005,             0.78209,             0.67971,             0.73741,             0.37682,            0.033006,           0.0094798,            0.012772,            0.006007,            0.006007,            0.006007
                 123,            0.042888,             0.01926,           0.0053501,             0.76241,             0.71978,             0.77844,             0.39091,            0.031623,           0.0093486,            0.011557,            0.005974,            0.005974,            0.005974
                 124,            0.040408,              0.0157,           0.0043444,             0.89643,             0.63437,             0.79717,             0.31165,            0.034698,           0.0097623,             0.01001,            0.005941,            0.005941,            0.005941
                 125,            0.042212,            0.014253,           0.0038514,             0.77631,             0.76325,             0.82884,             0.39549,            0.032664,            0.010198,           0.0086029,            0.005908,            0.005908,            0.005908
